export_index,mirror_id,position_key,x,y
1,177487332782245,"[""hex-band"",9,0,0]",90.023340723399997,51.975000000000001
2,156911796746208,"[""hex-band"",9,1,0]",0,103.95
3,92738156363829,"[""hex-band"",9,2,0]",-90.023340723399997,51.975000000000001
4,148283304611617,"[""hex-band"",9,3,0]",-90.023340723399997,-51.975000000000001
5,268463475939608,"[""hex-band"",9,4,0]",0,-103.95
6,21258706387315,"[""hex-band"",9,5,0]",90.023340723399997,-51.975000000000001
7,89904618064464,"[""hex-band"",10,0,0]",100.02593413709999,57.75
8,278346033341436,"[""hex-band"",10,0,1]",90.023340723399997,63.524999999999999
9,177323706621083,"[""hex-band"",10,0,2]",80.020747309699999,69.299999999999997
10,265447557460768,"[""hex-band"",10,0,3]",70.018153896000001,75.075000000000003
11,269648492074404,"[""hex-band"",10,0,4]",60.015560482300003,80.849999999999994
12,180293435491565,"[""hex-band"",10,0,5]",50.012967068599998,86.625
13,71919375184712,"[""hex-band"",10,0,6]",40.010373654799999,92.400000000000006
14,72866860789760,"[""hex-band"",10,0,7]",30.007780241100001,98.174999999999997
15,275563573785371,"[""hex-band"",10,0,8]",20.005186827399999,103.95
16,224071872910899,"[""hex-band"",10,0,9]",10.0025934137,109.72499999999999
17,255117604682208,"[""hex-band"",10,1,0]",0,115.5
18,105245893851088,"[""hex-band"",10,1,1]",-10.0025934137,109.72499999999999
19,195452634905345,"[""hex-band"",10,1,2]",-20.005186827399999,103.95
20,104452391996274,"[""hex-band"",10,1,3]",-30.007780241100001,98.174999999999997
21,4933255546843,"[""hex-band"",10,1,4]",-40.010373654799999,92.400000000000006
22,212254849194912,"[""hex-band"",10,1,5]",-50.012967068599998,86.625
23,73256366757274,"[""hex-band"",10,1,6]",-60.015560482300003,80.849999999999994
24,42315522704913,"[""hex-band"",10,1,7]",-70.018153896000001,75.075000000000003
25,215692473942463,"[""hex-band"",10,1,8]",-80.020747309699999,69.299999999999997
26,206020418947876,"[""hex-band"",10,1,9]",-90.023340723399997,63.524999999999999
27,67600813541500,"[""hex-band"",10,2,0]",-100.02593413709999,57.75
28,59869326812629,"[""hex-band"",10,2,1]",-100.02593413709999,46.200000000000003
29,244994884214128,"[""hex-band"",10,2,2]",-100.02593413709999,34.649999999999999
30,267899771688371,"[""hex-band"",10,2,3]",-100.02593413709999,23.100000000000001
31,144093528335235,"[""hex-band"",10,2,4]",-100.02593413709999,11.550000000000001
32,110919439977929,"[""hex-band"",10,2,5]",-100.02593413709999,0
33,210391834291652,"[""hex-band"",10,2,6]",-100.02593413709999,-11.550000000000001
34,130660616386954,"[""hex-band"",10,2,7]",-100.02593413709999,-23.100000000000001
35,144507812617364,"[""hex-band"",10,2,8]",-100.02593413709999,-34.649999999999999
36,138433268632805,"[""hex-band"",10,2,9]",-100.02593413709999,-46.200000000000003
37,1533875686683,"[""hex-band"",10,3,0]",-100.02593413709999,-57.75
38,75464367817410,"[""hex-band"",10,3,1]",-90.023340723399997,-63.524999999999999
39,6220332736254,"[""hex-band"",10,3,2]",-80.020747309699999,-69.299999999999997
40,213467573854036,"[""hex-band"",10,3,3]",-70.018153896000001,-75.075000000000003
41,84242426703464,"[""hex-band"",10,3,4]",-60.015560482300003,-80.849999999999994
42,25982096135461,"[""hex-band"",10,3,5]",-50.012967068599998,-86.625
43,259286731513019,"[""hex-band"",10,3,6]",-40.010373654799999,-92.400000000000006
44,106367803969446,"[""hex-band"",10,3,7]",-30.007780241100001,-98.174999999999997
45,280107329565572,"[""hex-band"",10,3,8]",-20.005186827399999,-103.95
46,144012505710847,"[""hex-band"",10,3,9]",-10.0025934137,-109.72499999999999
47,37155753701037,"[""hex-band"",10,4,0]",0,-115.5
48,280756153409610,"[""hex-band"",10,4,1]",10.0025934137,-109.72499999999999
49,11156119872906,"[""hex-band"",10,4,2]",20.005186827399999,-103.95
50,77412422096930,"[""hex-band"",10,4,3]",30.007780241100001,-98.174999999999997
51,87706853661959,"[""hex-band"",10,4,4]",40.010373654799999,-92.400000000000006
52,88209315042705,"[""hex-band"",10,4,5]",50.012967068599998,-86.625
53,80416753477289,"[""hex-band"",10,4,6]",60.015560482300003,-80.849999999999994
54,99320392112619,"[""hex-band"",10,4,7]",70.018153896000001,-75.075000000000003
55,36105700325758,"[""hex-band"",10,4,8]",80.020747309699999,-69.299999999999997
56,82671876788899,"[""hex-band"",10,4,9]",90.023340723399997,-63.524999999999999
57,74564245450559,"[""hex-band"",10,5,0]",100.02593413709999,-57.75
58,181331855708057,"[""hex-band"",10,5,1]",100.02593413709999,-46.200000000000003
59,183677429999757,"[""hex-band"",10,5,2]",100.02593413709999,-34.649999999999999
60,139158443885599,"[""hex-band"",10,5,3]",100.02593413709999,-23.100000000000001
61,232781205939194,"[""hex-band"",10,5,4]",100.02593413709999,-11.550000000000001
62,192243222157898,"[""hex-band"",10,5,5]",100.02593413709999,0
63,4640770611875,"[""hex-band"",10,5,6]",100.02593413709999,11.550000000000001
64,90546824311062,"[""hex-band"",10,5,7]",100.02593413709999,23.100000000000001
65,167128585885071,"[""hex-band"",10,5,8]",100.02593413709999,34.649999999999999
66,62319368229771,"[""hex-band"",10,5,9]",100.02593413709999,46.200000000000003
67,153189874031512,"[""hex-band"",11,0,0]",110.02852755080001,63.524999999999999
68,240412278914398,"[""hex-band"",11,0,1]",100.02593413709999,69.299999999999997
69,275528122189541,"[""hex-band"",11,0,2]",90.023340723399997,75.075000000000003
70,17028557315594,"[""hex-band"",11,0,3]",80.020747309699999,80.849999999999994
71,144878093907021,"[""hex-band"",11,0,4]",70.018153896000001,86.625
72,206179143997496,"[""hex-band"",11,0,5]",60.015560482300003,92.400000000000006
73,208955478078024,"[""hex-band"",11,0,6]",50.012967068599998,98.174999999999997
74,157713449424452,"[""hex-band"",11,0,7]",40.010373654799999,103.95
75,79663288311742,"[""hex-band"",11,0,8]",30.007780241100001,109.72499999999999
76,260363571250693,"[""hex-band"",11,0,9]",20.005186827399999,115.5
77,7231455433911,"[""hex-band"",11,0,10]",10.0025934137,121.27500000000001
