export_index,mirror_id,position_key,x,y
1,177487332782245,"[""hex-band"",9,0,0]",91.192475018500005,37.649999999999999
2,156911796746208,"[""hex-band"",9,1,0]",0,90.299999999999997
3,92738156363829,"[""hex-band"",9,2,0]",-91.192475018500005,37.649999999999999
4,148283304611617,"[""hex-band"",9,3,0]",-91.192475018500005,-67.650000000000006
5,268463475939608,"[""hex-band"",9,4,0]",0,-120.3
6,21258706387315,"[""hex-band"",9,5,0]",91.192475018500005,-67.650000000000006
7,89904618064464,"[""hex-band"",10,0,0]",101.3249722428,43.5
8,278346033341436,"[""hex-band"",10,0,1]",91.192475018500005,49.350000000000001
9,177323706621083,"[""hex-band"",10,0,2]",81.059977794199995,55.200000000000003
10,265447557460768,"[""hex-band"",10,0,3]",70.927480569899998,61.049999999999997
11,269648492074404,"[""hex-band"",10,0,4]",60.794983345699997,66.900000000000006
12,180293435491565,"[""hex-band"",10,0,5]",50.662486121400001,72.75
13,71919375184712,"[""hex-band"",10,0,6]",40.529988897099997,78.599999999999994
14,72866860789760,"[""hex-band"",10,0,7]",30.397491672800001,84.450000000000003
15,275563573785371,"[""hex-band"",10,0,8]",20.2649944486,90.299999999999997
16,224071872910899,"[""hex-band"",10,0,9]",10.1324972243,96.150000000000006
17,255117604682208,"[""hex-band"",10,1,0]",0,102
18,105245893851088,"[""hex-band"",10,1,1]",-10.1324972243,96.150000000000006
19,195452634905345,"[""hex-band"",10,1,2]",-20.2649944486,90.299999999999997
20,104452391996274,"[""hex-band"",10,1,3]",-30.397491672800001,84.450000000000003
21,4933255546843,"[""hex-band"",10,1,4]",-40.529988897099997,78.599999999999994
22,212254849194912,"[""hex-band"",10,1,5]",-50.662486121400001,72.75
23,73256366757274,"[""hex-band"",10,1,6]",-60.794983345699997,66.900000000000006
24,42315522704913,"[""hex-band"",10,1,7]",-70.927480569899998,61.049999999999997
25,215692473942463,"[""hex-band"",10,1,8]",-81.059977794199995,55.200000000000003
26,206020418947876,"[""hex-band"",10,1,9]",-91.192475018500005,49.350000000000001
27,67600813541500,"[""hex-band"",10,2,0]",-101.3249722428,43.5
28,59869326812629,"[""hex-band"",10,2,1]",-101.3249722428,31.800000000000001
29,244994884214128,"[""hex-band"",10,2,2]",-101.3249722428,20.100000000000001
30,267899771688371,"[""hex-band"",10,2,3]",-101.3249722428,8.4000000000000004
31,144093528335235,"[""hex-band"",10,2,4]",-101.3249722428,-3.2999999999999998
32,110919439977929,"[""hex-band"",10,2,5]",-101.3249722428,-15
33,210391834291652,"[""hex-band"",10,2,6]",-101.3249722428,-26.699999999999999
34,130660616386954,"[""hex-band"",10,2,7]",-101.3249722428,-38.399999999999999
35,144507812617364,"[""hex-band"",10,2,8]",-101.3249722428,-50.100000000000001
36,138433268632805,"[""hex-band"",10,2,9]",-101.3249722428,-61.799999999999997
37,1533875686683,"[""hex-band"",10,3,0]",-101.3249722428,-73.5
38,75464367817410,"[""hex-band"",10,3,1]",-91.192475018500005,-79.349999999999994
39,6220332736254,"[""hex-band"",10,3,2]",-81.059977794199995,-85.200000000000003
40,213467573854036,"[""hex-band"",10,3,3]",-70.927480569899998,-91.049999999999997
41,84242426703464,"[""hex-band"",10,3,4]",-60.794983345699997,-96.900000000000006
42,25982096135461,"[""hex-band"",10,3,5]",-50.662486121400001,-102.75
43,259286731513019,"[""hex-band"",10,3,6]",-40.529988897099997,-108.59999999999999
44,106367803969446,"[""hex-band"",10,3,7]",-30.397491672800001,-114.45
45,280107329565572,"[""hex-band"",10,3,8]",-20.2649944486,-120.3
46,144012505710847,"[""hex-band"",10,3,9]",-10.1324972243,-126.15000000000001
47,37155753701037,"[""hex-band"",10,4,0]",0,-132
48,280756153409610,"[""hex-band"",10,4,1]",10.1324972243,-126.15000000000001
49,11156119872906,"[""hex-band"",10,4,2]",20.2649944486,-120.3
50,77412422096930,"[""hex-band"",10,4,3]",30.397491672800001,-114.45
51,87706853661959,"[""hex-band"",10,4,4]",40.529988897099997,-108.59999999999999
52,88209315042705,"[""hex-band"",10,4,5]",50.662486121400001,-102.75
53,80416753477289,"[""hex-band"",10,4,6]",60.794983345699997,-96.900000000000006
54,99320392112619,"[""hex-band"",10,4,7]",70.927480569899998,-91.049999999999997
55,36105700325758,"[""hex-band"",10,4,8]",81.059977794199995,-85.200000000000003
56,82671876788899,"[""hex-band"",10,4,9]",91.192475018500005,-79.349999999999994
57,74564245450559,"[""hex-band"",10,5,0]",101.3249722428,-73.5
58,181331855708057,"[""hex-band"",10,5,1]",101.3249722428,-61.799999999999997
59,183677429999757,"[""hex-band"",10,5,2]",101.3249722428,-50.100000000000001
60,139158443885599,"[""hex-band"",10,5,3]",101.3249722428,-38.399999999999999
61,232781205939194,"[""hex-band"",10,5,4]",101.3249722428,-26.699999999999999
62,192243222157898,"[""hex-band"",10,5,5]",101.3249722428,-15
63,4640770611875,"[""hex-band"",10,5,6]",101.3249722428,-3.2999999999999998
64,90546824311062,"[""hex-band"",10,5,7]",101.3249722428,8.4000000000000004
65,167128585885071,"[""hex-band"",10,5,8]",101.3249722428,20.100000000000001
66,62319368229771,"[""hex-band"",10,5,9]",101.3249722428,31.800000000000001
67,153189874031512,"[""hex-band"",11,0,0]",111.4574694671,49.350000000000001
68,240412278914398,"[""hex-band"",11,0,1]",101.3249722428,55.200000000000003
69,275528122189541,"[""hex-band"",11,0,2]",91.192475018500005,61.049999999999997
70,17028557315594,"[""hex-band"",11,0,3]",81.059977794199995,66.900000000000006
71,144878093907021,"[""hex-band"",11,0,4]",70.927480569899998,72.75
72,206179143997496,"[""hex-band"",11,0,5]",60.794983345699997,78.599999999999994
73,208955478078024,"[""hex-band"",11,0,6]",50.662486121400001,84.450000000000003
74,157713449424452,"[""hex-band"",11,0,7]",40.529988897099997,90.299999999999997
75,79663288311742,"[""hex-band"",11,0,8]",30.397491672800001,96.150000000000006
76,260363571250693,"[""hex-band"",11,0,9]",20.2649944486,102
77,7231455433911,"[""hex-band"",11,0,10]",10.1324972243,107.84999999999999
78,176473955952466,"[""hex-band"",11,1,0]",0,113.7
79,229269183430037,"[""hex-band"",11,1,1]",-10.1324972243,107.84999999999999
80,152232605824603,"[""hex-band"",11,1,2]",-20.2649944486,102
81,71319363180275,"[""hex-band"",11,1,3]",-30.397491672800001,96.150000000000006
82,10914015125390,"[""hex-band"",11,1,4]",-40.529988897099997,90.299999999999997
83,209650717723858,"[""hex-band"",11,1,5]",-50.662486121400001,84.450000000000003
84,16698139039894,"[""hex-band"",11,1,6]",-60.794983345699997,78.599999999999994
85,69696978933011,"[""hex-band"",11,1,7]",-70.927480569899998,72.75
86,90770907946586,"[""hex-band"",11,1,8]",-81.059977794199995,66.900000000000006
87,157657742313900,"[""hex-band"",11,1,9]",-91.192475018500005,61.049999999999997
88,260039499101912,"[""hex-band"",11,1,10]",-101.3249722428,55.200000000000003
89,120463441666170,"[""hex-band"",11,2,0]",-111.4574694671,49.350000000000001
90,236027974321111,"[""hex-band"",11,2,1]",-111.4574694671,37.649999999999999
91,258517554260625,"[""hex-band"",11,2,2]",-111.4574694671,25.949999999999999
92,196162943096446,"[""hex-band"",11,2,3]",-111.4574694671,14.25
93,43055927466783,"[""hex-band"",11,2,4]",-111.4574694671,2.5499999999999998
94,36401444875153,"[""hex-band"",11,2,5]",-111.4574694671,-9.1500000000000004
95,46340083281544,"[""hex-band"",11,2,6]",-111.4574694671,-20.850000000000001
96,108286705995337,"[""hex-band"",11,2,7]",-111.4574694671,-32.549999999999997
97,56694295567632,"[""hex-band"",11,2,8]",-111.4574694671,-44.25
98,228916784188497,"[""hex-band"",11,2,9]",-111.4574694671,-55.950000000000003
99,264079712264287,"[""hex-band"",11,2,10]",-111.4574694671,-67.650000000000006
100,243238263156700,"[""hex-band"",11,3,0]",-111.4574694671,-79.349999999999994
101,20869853658198,"[""hex-band"",11,3,1]",-101.3249722428,-85.200000000000003
102,187588110057734,"[""hex-band"",11,3,2]",-91.192475018500005,-91.049999999999997
103,259031836353772,"[""hex-band"",11,3,3]",-81.059977794199995,-96.900000000000006
104,92177258930757,"[""hex-band"",11,3,4]",-70.927480569899998,-102.75
105,261554616392934,"[""hex-band"",11,3,5]",-60.794983345699997,-108.59999999999999
106,190223169976436,"[""hex-band"",11,3,6]",-50.662486121400001,-114.45
107,138387082483771,"[""hex-band"",11,3,7]",-40.529988897099997,-120.3
108,5936470234243,"[""hex-band"",11,3,8]",-30.397491672800001,-126.15000000000001
109,200303165851684,"[""hex-band"",11,3,9]",-20.2649944486,-132
110,179050913619602,"[""hex-band"",11,3,10]",-10.1324972243,-137.84999999999999
111,70734596816709,"[""hex-band"",11,4,0]",0,-143.69999999999999
112,132396308358834,"[""hex-band"",11,4,1]",10.1324972243,-137.84999999999999
113,256853190115680,"[""hex-band"",11,4,2]",20.2649944486,-132
114,43830207481730,"[""hex-band"",11,4,3]",30.397491672800001,-126.15000000000001
115,273283303755760,"[""hex-band"",11,4,4]",40.529988897099997,-120.3
116,275344161273608,"[""hex-band"",11,4,5]",50.662486121400001,-114.45
117,221706970523184,"[""hex-band"",11,4,6]",60.794983345699997,-108.59999999999999
118,678515161710,"[""hex-band"",11,4,7]",70.927480569899998,-102.75
119,237070424355595,"[""hex-band"",11,4,8]",81.059977794199995,-96.900000000000006
120,152115906367490,"[""hex-band"",11,4,9]",91.192475018500005,-91.049999999999997
121,101297234378893,"[""hex-band"",11,4,10]",101.3249722428,-85.200000000000003
122,220946225149750,"[""hex-band"",11,5,0]",111.4574694671,-79.349999999999994
123,215976871463620,"[""hex-band"",11,5,1]",111.4574694671,-67.650000000000006
124,109799970619614,"[""hex-band"",11,5,2]",111.4574694671,-55.950000000000003
125,31537197169660,"[""hex-band"",11,5,3]",111.4574694671,-44.25
126,141688957179651,"[""hex-band"",11,5,4]",111.4574694671,-32.549999999999997
127,179993127561501,"[""hex-band"",11,5,5]",111.4574694671,-20.850000000000001
128,212049274706934,"[""hex-band"",11,5,6]",111.4574694671,-9.1500000000000004
129,177863450437620,"[""hex-band"",11,5,7]",111.4574694671,2.5499999999999998
130,165123955546890,"[""hex-band"",11,5,8]",111.4574694671,14.25
131,253177551580986,"[""hex-band"",11,5,9]",111.4574694671,25.949999999999999
132,229503601224378,"[""hex-band"",11,5,10]",111.4574694671,37.649999999999999
133,146790922420656,"[""hex-band"",12,0,0]",121.58996669130001,55.200000000000003
134,50499689404535,"[""hex-band"",12,0,1]",111.4574694671,61.049999999999997
135,122342691442469,"[""hex-band"",12,0,2]",101.3249722428,66.900000000000006
136,38741126285183,"[""hex-band"",12,0,3]",91.192475018500005,72.75
137,231284995081504,"[""hex-band"",12,0,4]",81.059977794199995,78.599999999999994
138,225490188677966,"[""hex-band"",12,0,5]",70.927480569899998,84.450000000000003
139,267794638135180,"[""hex-band"",12,0,6]",60.794983345699997,90.299999999999997
140,88520675205682,"[""hex-band"",12,0,7]",50.662486121400001,96.150000000000006
141,238825606687135,"[""hex-band"",12,0,8]",40.529988897099997,102
142,48873765080342,"[""hex-band"",12,0,9]",30.397491672800001,107.84999999999999
143,182206212093754,"[""hex-band"",12,0,10]",20.2649944486,113.7
144,178306814925449,"[""hex-band"",12,0,11]",10.1324972243,119.55
145,174303916202366,"[""hex-band"",12,1,0]",0,125.40000000000001
146,242822572962631,"[""hex-band"",12,1,1]",-10.1324972243,119.55
