rank,inspect_components,inspect_semis,dismantle_semis,inspect_final,dismantle_final,semi_expected_costs,semi_output_good_probabilities,pass_probability_per_final_assembly,expected_fulfillment_cost,expected_profit
1,11111111,111,111,0,1,"[42.888888888888886, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,139.77777777777777,60.22222222222223
2,11111111,111,110,0,1,"[42.888888888888886, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,141.95061728395063,58.049382716049365
3,11111111,111,111,1,1,"[42.888888888888886, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.0,58.0
4,11111110,111,110,0,1,"[42.888888888888886, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,142.19753086419752,57.80246913580248
5,11111111,111,011,0,1,"[45.432098765432094, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.320987654321,57.67901234567901
6,11111111,111,101,0,1,"[42.888888888888886, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.320987654321,57.67901234567901
7,11011111,111,011,0,1,"[46.09053497942386, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.97942386831275,57.02057613168725
8,11111011,111,101,0,1,"[42.888888888888886, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,142.97942386831275,57.02057613168725
9,11111100,111,110,0,1,"[42.888888888888886, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,144.1179698216735,55.88203017832649
10,11111101,111,110,0,1,"[42.888888888888886, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,144.11796982167354,55.88203017832646
11,11111111,111,110,1,1,"[42.888888888888886, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,144.17283950617283,55.827160493827165
12,11111110,111,110,1,1,"[42.888888888888886, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,144.41975308641975,55.580246913580254
13,11111111,111,010,0,1,"[45.432098765432094, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,144.49382716049382,55.50617283950618
14,11111111,111,100,0,1,"[42.888888888888886, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,144.49382716049382,55.50617283950618
15,11111111,111,011,1,1,"[45.432098765432094, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.5432098765432,55.45679012345681
16,11111111,111,101,1,1,"[42.888888888888886, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.5432098765432,55.45679012345681
17,11111110,111,010,0,1,"[45.432098765432094, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,144.74074074074073,55.25925925925927
18,11111110,111,100,0,1,"[42.888888888888886, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,144.74074074074073,55.25925925925927
19,11111111,111,001,0,1,"[45.432098765432094, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.8641975308642,55.1358024691358
20,10111111,111,011,0,1,"[48.01097393689986, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.89986282578877,55.10013717421123
21,11110111,111,101,0,1,"[42.888888888888886, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,144.89986282578877,55.10013717421123
22,11011111,111,010,0,1,"[46.09053497942386, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,145.15226337448559,54.847736625514415
23,11111011,111,100,0,1,"[42.888888888888886, 46.09053497942386, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,145.15226337448559,54.847736625514415
24,11011111,111,011,1,1,"[46.09053497942386, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.20164609053495,54.79835390946505
25,11111011,111,101,1,1,"[42.888888888888886, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.20164609053495,54.79835390946505
26,10011111,111,011,0,1,"[48.46822130772747, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.35711019661636,54.64288980338364
27,11110011,111,101,0,1,"[42.888888888888886, 48.46822130772747, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.35711019661636,54.64288980338364
28,11011110,111,010,0,1,"[46.09053497942386, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,145.3991769547325,54.600823045267504
29,11111010,111,100,0,1,"[42.888888888888886, 46.09053497942386, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,145.3991769547325,54.600823045267504
30,11011111,111,001,0,1,"[46.09053497942386, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.52263374485597,54.477366255144034
31,11111011,111,001,0,1,"[45.432098765432094, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.52263374485597,54.477366255144034
32,01111111,111,011,0,1,"[48.83401920438958, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.72290809327848,54.27709190672152
33,11101111,111,101,0,1,"[42.888888888888886, 48.83401920438958, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,145.72290809327848,54.27709190672152
34,11011011,111,001,0,1,"[46.09053497942386, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,146.18106995884773,53.81893004115227
35,01011111,111,011,0,1,"[49.38271604938271, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,146.2716049382716,53.728395061728406
36,11101011,111,101,0,1,"[42.888888888888886, 49.38271604938271, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,146.2716049382716,53.728395061728406
37,11111100,111,110,1,1,"[42.888888888888886, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,146.3401920438957,53.65980795610429
38,11111101,111,110,1,1,"[42.888888888888886, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,146.34019204389574,53.65980795610426
39,11111100,111,010,0,1,"[45.432098765432094, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,146.66117969821673,53.33882030178327
40,11111100,111,100,0,1,"[42.888888888888886, 45.432098765432094, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,146.66117969821673,53.33882030178327
41,11111101,111,010,0,1,"[45.432098765432094, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,146.66117969821676,53.338820301783244
42,11111101,111,100,0,1,"[42.888888888888886, 45.432098765432094, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,146.66117969821676,53.338820301783244
43,11111111,111,010,1,1,"[45.432098765432094, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,146.71604938271602,53.28395061728398
44,11111111,111,100,1,1,"[42.888888888888886, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,146.71604938271602,53.28395061728398
45,11111110,111,010,1,1,"[45.432098765432094, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,146.96296296296293,53.03703703703707
46,11111110,111,100,1,1,"[42.888888888888886, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,146.96296296296293,53.03703703703707
47,11111111,111,000,0,1,"[45.432098765432094, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.03703703703704,52.96296296296296
48,10111111,111,010,0,1,"[48.01097393689986, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.0727023319616,52.92729766803839
49,11110111,111,100,0,1,"[42.888888888888886, 48.01097393689986, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.0727023319616,52.92729766803839
50,11111111,111,001,1,1,"[45.432098765432094, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.0864197530864,52.9135802469136
51,10111111,111,011,1,1,"[48.01097393689986, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.12208504801097,52.87791495198903
52,11110111,111,101,1,1,"[42.888888888888886, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.12208504801097,52.87791495198903
53,11111110,111,000,0,1,"[45.432098765432094, 45.432098765432094, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.28395061728395,52.71604938271605
54,11011100,111,010,0,1,"[46.09053497942386, 42.888888888888886, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,147.3196159122085,52.68038408779151
55,11111000,111,100,0,1,"[42.888888888888886, 46.09053497942386, 43.8957475994513]","[1.0, 1.0, 1.0]",0.9,147.3196159122085,52.68038408779151
56,10111110,111,010,0,1,"[48.01097393689986, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.31961591220852,52.68038408779148
57,11011101,111,010,0,1,"[46.09053497942386, 42.888888888888886, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,147.31961591220852,52.68038408779148
58,11110110,111,100,0,1,"[42.888888888888886, 48.01097393689986, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.31961591220852,52.68038408779148
59,11111001,111,100,0,1,"[42.888888888888886, 46.09053497942386, 43.895747599451305]","[1.0, 1.0, 1.0]",0.9,147.31961591220852,52.68038408779148
60,11011111,111,010,1,1,"[46.09053497942386, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.37448559670779,52.625514403292215
61,11111011,111,100,1,1,"[42.888888888888886, 46.09053497942386, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.37448559670779,52.625514403292215
62,10111111,111,001,0,1,"[48.01097393689986, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.44307270233196,52.55692729766804
63,11110111,111,001,0,1,"[45.432098765432094, 48.01097393689986, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.44307270233196,52.55692729766804
64,10011111,111,010,0,1,"[48.46822130772747, 42.888888888888886, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.52994970278922,52.470050297210776
65,11110011,111,100,0,1,"[42.888888888888886, 48.46822130772747, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.52994970278922,52.470050297210776
66,10011111,111,011,1,1,"[48.46822130772747, 42.888888888888886, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.57933241883856,52.42066758116144
67,11110011,111,101,1,1,"[42.888888888888886, 48.46822130772747, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.57933241883856,52.42066758116144
68,11011110,111,010,1,1,"[46.09053497942386, 42.888888888888886, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.6213991769547,52.3786008230453
69,11111010,111,100,1,1,"[42.888888888888886, 46.09053497942386, 41.9753086419753]","[1.0, 1.0, 1.0]",0.9,147.6213991769547,52.3786008230453
70,11011111,111,000,0,1,"[46.09053497942386, 45.432098765432094, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.6954732510288,52.3045267489712
71,11111011,111,000,0,1,"[45.432098765432094, 46.09053497942386, 41.7283950617284]","[1.0, 1.0, 1.0]",0.9,147.6954732510288,52.3045267489712
72,11011111,111,001,1,1,"[46.09053497942386, 45.432098765432094, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.74485596707817,52.255144032921834
73,11111011,111,001,1,1,"[45.432098765432094, 46.09053497942386, 39.55555555555556]","[1.0, 1.0, 1.0]",0.9,147.74485596707817,52.255144032921834
