source_relative_path,bytes,sha256,role,not_in_git_reason,rebuildable,current_local_location,future_storage
README.md,251,03f6defc977e9297ab67a228bc7002fe096f45e697ef2b27cc0c741e80350c6e,正文、代码、配置、结果、索引或必要证据,未被精简映射选为关键原件，或信息已由阶段记录/哈希/当前版本覆盖,视文件而定,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\README.md,管理员按需补充
工作记录/冻结候选/盲解-v001/AGENTS.md,10417,f7a5facb2fb333b20e3e9e12cd14b4990a209f3a8a09899d8eabe7927c9c9247,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\AGENTS.md,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/Markdown与LaTeX对应-v001.json,9779,ffd0dd398c340a9c5a62859837099dfe8d8cc2deb0bf6ff9f078e12421d60fa7,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\Markdown与LaTeX对应-v001.json,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/PDF人工核验-v001.json,1139,c0556480749789e8f535c2089af2451e2ca6b4f895e53ece6a535d0a1a5e7cb8,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\PDF人工核验-v001.json,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/PDF自动核验-v001.json,6164,ba8643d8df1c227f2a909f83f09f7c0ffd67457185776d5b02e3b481f0e2885c,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\PDF自动核验-v001.json,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/全题可复现说明-v001.md,17153,54034ed53e8e559d7192e878041f3b1e982435e7e82bfb1f74396953b5807c61,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\全题可复现说明-v001.md,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/公共模型一致性审查-v001.md,24429,7bf7cd8727a6ba2ae58769c4bbaf2918d41310ca5653e8a68be1f1921c5899ef,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\公共模型一致性审查-v001.md,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/图表/图1-三问月度功率-生成.log,96,fd4e28977285b216758743f2ad9d9d043ef9b476432ff2eda2968f83920a63ce,可重建编译或运行中间产物；有失败证据价值者保留,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\图表\图1-三问月度功率-生成.log,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/图表/图1-三问月度功率.pdf,5055,2f201c3d557f06a485facc04d9108753f441d87b56d56b9b40438d1adc42b8fe,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\图表\图1-三问月度功率.pdf,外部对象存储或保留本地
工作记录/冻结候选/盲解-v001/工作记录/论文/全题整合/图表/图1-三问月度功率.png,53908,8802f3a07a360e018d0f143120bd4f0b77e0a7dc86042c4df03ff2306abf93d2,正文、代码、配置、结果、索引或必要证据,冻结包与已归档原件大量逐字节重复,视文件而定；冻结清单和正式产物已入库,C:\Users\admin\OneDrive\Desktop\26国赛-单题盲解区\A-P8C3\工作记录\冻结候选\盲解-v001\工作记录\论文\全题整合\图表\图1-三问月度功率.png,外部对象存储或保留本地
