export_index,mirror_id,position_key,x,y
1,225977427565346,"[""ring1"",""active"",0]",100.2848217855,6.5730144876000001
2,98461791273696,"[""ring1"",""active"",1]",98.5689206805,19.6065773626
3,146546269447317,"[""ring1"",""active"",2]",95.166478014299997,32.304666263000001
4,91816430395141,"[""ring1"",""active"",3]",90.135710524000004,44.450013366999997
5,231364419112210,"[""ring1"",""active"",4]",83.562696036399998,55.834808418500003
6,186914820487113,"[""ring1"",""active"",5]",75.559900651600003,66.2642544176
7,218691133102543,"[""ring1"",""active"",6]",66.2642544176,75.559900651600003
8,249518401681586,"[""ring1"",""active"",7]",55.834808418500003,83.562696036399998
9,257081424862060,"[""ring1"",""active"",8]",44.450013366999997,90.135710524000004
10,462329393670,"[""ring1"",""active"",9]",32.304666263000001,95.166478014299997
11,136638878541845,"[""ring1"",""active"",10]",19.6065773626,98.5689206805
12,113440114950139,"[""ring1"",""active"",11]",6.5730144876000001,100.2848217855
13,189893974123011,"[""ring1"",""active"",12]",-6.5730144876000001,100.2848217855
14,259292959545620,"[""ring1"",""active"",13]",-19.6065773626,98.5689206805
15,199461450372935,"[""ring1"",""active"",14]",-32.304666263000001,95.166478014299997
16,53150555964577,"[""ring1"",""active"",15]",-44.450013366999997,90.135710524000004
17,182181300776484,"[""ring1"",""active"",16]",-55.834808418500003,83.562696036399998
18,36828647183504,"[""ring1"",""active"",17]",-66.2642544176,75.559900651600003
19,245044142097057,"[""ring1"",""active"",18]",-75.559900651600003,66.2642544176
20,164989153111639,"[""ring1"",""active"",19]",-83.562696036399998,55.834808418500003
21,82757952312123,"[""ring1"",""active"",20]",-90.135710524000004,44.450013366999997
22,264367324792324,"[""ring1"",""active"",21]",-95.166478014299997,32.304666263000001
23,96077426024455,"[""ring1"",""active"",22]",-98.5689206805,19.6065773626
24,175280640722083,"[""ring1"",""active"",23]",-100.2848217855,6.5730144876000001
25,271289438101252,"[""ring1"",""active"",24]",-100.2848217855,-6.5730144876000001
26,22151644413009,"[""ring1"",""active"",25]",-98.5689206805,-19.6065773626
27,54785332350034,"[""ring1"",""active"",26]",-95.166478014299997,-32.304666263000001
28,37097415433566,"[""ring1"",""active"",27]",-90.135710524000004,-44.450013366999997
29,7974149837147,"[""ring1"",""active"",28]",-83.562696036399998,-55.834808418500003
30,159066063835249,"[""ring1"",""active"",29]",-75.559900651600003,-66.2642544176
31,227814935923795,"[""ring1"",""active"",30]",-66.2642544176,-75.559900651600003
32,112737315580354,"[""ring1"",""active"",31]",-55.834808418500003,-83.562696036399998
33,279057199714791,"[""ring1"",""active"",32]",-44.450013366999997,-90.135710524000004
34,104555532071604,"[""ring1"",""active"",33]",-32.304666263000001,-95.166478014299997
35,114636202083057,"[""ring1"",""active"",34]",-19.6065773626,-98.5689206805
36,166816355597687,"[""ring1"",""active"",35]",-6.5730144876000001,-100.2848217855
37,196871639851600,"[""ring1"",""active"",36]",6.5730144876000001,-100.2848217855
38,163201643135464,"[""ring1"",""active"",37]",19.6065773626,-98.5689206805
39,141087017475327,"[""ring1"",""active"",38]",32.304666263000001,-95.166478014299997
40,274460507970912,"[""ring1"",""active"",39]",44.450013366999997,-90.135710524000004
41,211658257369416,"[""ring1"",""active"",40]",55.834808418500003,-83.562696036399998
42,25256560694987,"[""ring1"",""active"",41]",66.2642544176,-75.559900651600003
43,111109889874469,"[""ring1"",""active"",42]",75.559900651600003,-66.2642544176
44,248359595964128,"[""ring1"",""active"",43]",83.562696036399998,-55.834808418500003
45,232550607584963,"[""ring1"",""active"",44]",90.135710524000004,-44.450013366999997
46,8954556596020,"[""ring1"",""active"",45]",95.166478014299997,-32.304666263000001
47,16077873566104,"[""ring1"",""active"",46]",98.5689206805,-19.6065773626
48,82931331611565,"[""ring1"",""active"",47]",100.2848217855,-6.5730144876000001
49,118963306441431,"[""ring2"",""active"",0]",113.423030979,6.6061392729000001
50,166210091923763,"[""ring2"",""active"",1]",111.8891790604,19.729081117700002
51,117307025828046,"[""ring2"",""active"",2]",108.8422179391,32.585220985299998
52,31761126237247,"[""ring2"",""active"",3]",104.32335253719999,45.000701638499997
53,8755066053518,"[""ring2"",""active"",4]",98.393692757300002,56.807625000000002
54,26147884959761,"[""ring2"",""active"",5]",91.133427075699998,67.846322685999993
55,113321123638128,"[""ring2"",""active"",6]",82.640738130700001,77.967515246900007
56,146421478213383,"[""ring2"",""active"",7]",73.030474971399997,87.034330916100004
57,209994560452606,"[""ring2"",""active"",8]",62.432599920800001,94.924156565600001
58,52342416943538,"[""ring2"",""active"",9]",50.990431058299997,101.5302958385
59,200784994231433,"[""ring2"",""active"",10]",38.858704089,106.76341203370001
60,91357866436445,"[""ring2"",""active"",11]",26.201479808399998,110.5527362321
61,198849746917301,"[""ring2"",""active"",12]",13.1899254616,112.8470243244
62,195368130266985,"[""ring2"",""active"",13]",0,113.61525
63,150101175004650,"[""ring2"",""active"",14]",-13.1899254616,112.8470243244
64,24350496598495,"[""ring2"",""active"",15]",-26.201479808399998,110.5527362321
65,111513192711181,"[""ring2"",""active"",16]",-38.858704089,106.76341203370001
66,183037382441518,"[""ring2"",""active"",17]",-50.990431058299997,101.5302958385
67,224334105978858,"[""ring2"",""active"",18]",-62.432599920800001,94.924156565600001
68,240661364293959,"[""ring2"",""active"",19]",-73.030474971399997,87.034330916100004
69,206103613447385,"[""ring2"",""active"",20]",-82.640738130700001,77.967515246900007
70,205049209907177,"[""ring2"",""active"",21]",-91.133427075699998,67.846322685999993
71,140036588241521,"[""ring2"",""active"",22]",-98.393692757300002,56.807625000000002
72,178109332024333,"[""ring2"",""active"",23]",-104.32335253719999,45.000701638499997
73,147447801650378,"[""ring2"",""active"",24]",-108.8422179391,32.585220985299998
74,186058987222788,"[""ring2"",""active"",25]",-111.8891790604,19.729081117700002
75,15063983504382,"[""ring2"",""active"",26]",-113.423030979,6.6061392729000001
76,82820283973980,"[""ring2"",""active"",27]",-113.423030979,-6.6061392729000001
77,4812291460678,"[""ring2"",""active"",28]",-111.8891790604,-19.729081117700002
78,254876129109843,"[""ring2"",""active"",29]",-108.8422179391,-32.585220985299998
79,52090938489001,"[""ring2"",""active"",30]",-104.32335253719999,-45.000701638499997
80,276426639245006,"[""ring2"",""active"",31]",-98.393692757300002,-56.807625000000002
81,150770518482208,"[""ring2"",""active"",32]",-91.133427075699998,-67.846322685999993
82,65908650420079,"[""ring2"",""active"",33]",-82.640738130700001,-77.967515246900007
83,238391778599238,"[""ring2"",""active"",34]",-73.030474971399997,-87.034330916100004
84,187322721507181,"[""ring2"",""active"",35]",-62.432599920800001,-94.924156565600001
85,75900330232157,"[""ring2"",""active"",36]",-50.990431058299997,-101.5302958385
86,56946199260712,"[""ring2"",""active"",37]",-38.858704089,-106.76341203370001
87,155089634456550,"[""ring2"",""active"",38]",-26.201479808399998,-110.5527362321
88,273285650791107,"[""ring2"",""active"",39]",-13.1899254616,-112.8470243244
89,251067079882723,"[""ring2"",""active"",40]",-0,-113.61525
90,13564978797403,"[""ring2"",""active"",41]",13.1899254616,-112.8470243244
91,94878253318120,"[""ring2"",""active"",42]",26.201479808399998,-110.5527362321
92,207197014732390,"[""ring2"",""active"",43]",38.858704089,-106.76341203370001
93,203533647948113,"[""ring2"",""active"",44]",50.990431058299997,-101.5302958385
94,82706652683496,"[""ring2"",""active"",45]",62.432599920800001,-94.924156565600001
95,5167778211505,"[""ring2"",""active"",46]",73.030474971399997,-87.034330916100004
96,255403182698697,"[""ring2"",""active"",47]",82.640738130700001,-77.967515246900007
97,82825078268065,"[""ring2"",""active"",48]",91.133427075699998,-67.846322685999993
98,260003801076989,"[""ring2"",""active"",49]",98.393692757300002,-56.807625000000002
99,100092810805523,"[""ring2"",""active"",50]",104.32335253719999,-45.000701638499997
100,29530510557746,"[""ring2"",""active"",51]",108.8422179391,-32.585220985299998
101,197980779087096,"[""ring2"",""active"",52]",111.8891790604,-19.729081117700002
102,226745184831197,"[""ring2"",""active"",53]",113.423030979,-6.6061392729000001
103,59555902021457,"[""ring3"",""active"",0]",126.55682025420001,6.6325619026
104,155037580514219,"[""ring3"",""active"",1]",125.1702372478,19.825017971800001
105,110538863576565,"[""ring3"",""active"",2]",122.4122629285,32.800266995400001
